Player,Rating,Average Combat Score,Kills:Deaths,Average Damage Per Round,Headshot %,Clutch Success %,Teams,ACS Percentile,K/D Percentile,ADR Percentile,Headshot Percentile,Average Percentile
valyn,1.1,203.0,1.2,130.1,25.2,26.4,G2 Esports,68.0,89.1,59.5,23.6,64.1
vo0kashu,1.2,228.2,1.2,150.8,29.1,,Dragon Ranger Gaming,95.1,92.6,96.5,59.5,94.4
vora,1.0,182.2,1.0,122.5,27.6,32.5,100 Thieves,34.5,50.7,40.5,45.2,38.4
wayne,1.0,181.2,1.0,117.8,33.1,21.3,Team Liquid,33.5,57.4,28.2,86.6,52.5
westside,0.9,188.6,1.0,127.3,40.0,36.0,GIANTX,46.5,46.5,53.9,98.6,65.7
whzy,1.1,235.4,1.2,150.6,24.8,,Bilibili Gaming,98.2,88.4,96.1,20.1,86.1
xavi8k,0.9,169.0,0.9,111.7,22.9,28.8,Global Esports,16.9,26.4,16.9,10.6,7.7
xeus,1.0,208.3,1.0,136.2,37.8,27.8,FUT Esports,77.8,63.7,77.5,97.2,89.8
xffero,1.1,205.1,1.2,138.1,28.5,22.7,Rex Regum Qeon,72.9,88.0,82.4,54.6,84.9
yatsuka,0.9,163.4,0.9,105.6,36.3,27.0,DetonatioN FocusMe,10.6,25.0,7.0,95.4,28.0
yetujey,1.0,183.6,1.0,125.7,27.8,21.9,FUT Esports,38.7,43.3,51.1,48.2,42.3
yilai,1.1,225.1,1.1,143.1,27.6,,Bilibili Gaming,93.0,83.8,89.4,45.2,87.0
yong,0.9,182.9,0.9,125.6,28.8,35.4,KIWOOM DRX,35.9,32.0,50.7,56.3,39.8
yosemite,1.0,204.2,1.0,137.6,29.3,,Wolves Esports,70.1,47.2,79.9,62.7,70.1
zekken,1.0,210.4,1.0,132.2,24.4,22.8,MIBR,79.2,59.9,66.2,17.6,56.9
zerona,0.9,222.7,0.9,145.7,27.3,,Evil Geniuses,91.2,32.7,92.6,42.3,69.4
zhe,1.0,214.5,1.1,137.8,23.4,,JDG Esports,84.2,68.0,81.0,13.4,66.2
