Player,Rating,Average Combat Score,Kills:Deaths,Average Damage Per Round,Headshot %,Clutch Success %,Teams,ACS Percentile,K/D Percentile,ADR Percentile,Headshot Percentile,Average Percentile
Joaquin,1.1,218.2,1.4,149.0,23.0,8.2,Fraggerz,77.9,95.3,88.5,50.1,87.4
JohnOlsen,1.1,248.4,1.3,155.2,26.9,14.6,FULL SENSE,94.6,93.8,93.5,77.9,96.8
Jonn,0.9,222.0,1.0,138.6,25.5,17.6,Gamelanders Blue,80.4,63.2,75.1,68.7,81.1
JoshS,,181.7,0.8,121.3,22.3,11.3,ArkAngel,37.1,22.6,44.6,45.2,31.4
K1llgrave,0.7,173.8,0.7,113.2,24.2,21.8,Insomnia,29.5,15.4,29.7,59.5,26.5
K4DAVRA,,202.2,1.0,139.2,26.0,47.9,Alliance,61.3,55.4,75.8,72.4,72.6
K9,1.0,225.7,1.2,138.7,14.0,24.0,Tenacity,83.6,82.6,75.2,3.5,65.6
KAAL,1.0,185.0,1.0,124.7,18.7,21.3,Trained To Kill,41.4,56.3,50.8,20.9,37.9
KEIMIE,0.8,146.0,0.7,96.0,19.2,4.5,Team Validus,8.2,16.1,9.0,24.2,5.8
KEREME,,140.3,0.8,92.7,23.1,20.3,Ballista,6.0,24.3,7.0,51.3,12.9
KIWII,0.9,187.7,0.9,130.3,28.0,0.0,Crash Landin on You,45.1,37.9,61.7,82.6,59.3
KQC3x,,167.1,0.7,117.9,25.9,17.0,Team Divinity,22.3,17.1,37.4,71.0,30.3
KaKU,,173.9,0.8,107.8,26.8,11.0,FIRST Gaming,29.6,27.5,22.1,76.8,33.5
Kaminari,1.0,193.2,1.0,120.4,22.6,18.4,REJECT,50.9,65.7,42.2,47.5,52.6
Kant,0.8,171.7,0.8,111.7,13.0,21.0,CBT Gaming,26.9,23.6,27.4,2.8,10.4
KappA,1.0,160.7,1.0,104.9,23.2,17.8,Global Esports,17.1,65.9,18.0,51.6,32.4
Karl,1.2,196.7,1.1,127.8,28.0,7.4,Galaxy Racer,54.7,69.4,56.8,82.6,72.2
Kasper,0.9,183.5,0.9,118.4,25.2,16.8,Salt Esports,40.1,46.5,38.5,66.7,47.0
Kawaii,1.0,218.3,1.1,143.0,32.0,12.0,YODHA Esports B,78.0,80.7,82.1,94.9,93.6
Kehmicals,,199.7,0.8,142.7,11.3,0.0,Immortals,58.5,35.2,81.4,1.4,40.8
Kelly,,173.1,0.9,108.5,24.9,16.5,DAMWON Gaming,28.8,43.8,23.1,63.4,34.8
Kev,1.0,231.3,1.3,128.3,20.0,0.0,OnlyFriends,87.5,89.6,58.0,28.5,72.3
Khalil,1.1,204.5,1.3,130.1,20.9,18.3,FURIA,63.6,92.8,61.0,34.3,67.8
Kheops,0.8,165.5,0.7,114.6,22.8,6.8,Team Majesty,21.4,15.9,32.1,48.8,21.4
Kibojn,0.9,219.7,1.0,125.3,23.7,19.3,Team Novas,79.0,52.5,52.2,55.2,63.7
Kiles,0.9,167.6,0.9,109.9,28.8,17.9,Acend,22.6,40.4,25.5,85.8,40.1
Killer,0.7,147.5,0.7,87.0,16.8,0.0,Feeling,9.0,15.1,4.9,11.1,4.2
Kipperman,,222.0,0.9,145.5,31.8,31.2,İstanbul Wildcats,80.6,37.5,85.8,94.4,84.9
Kishi,1.0,224.5,1.0,139.3,30.3,31.1,CERBERUS Esports,82.5,53.6,75.9,90.7,85.6
Klaus,1.1,190.7,1.2,122.1,20.3,19.3,KRÜ Esports,48.3,85.2,46.4,30.4,53.9
Klauss,,183.7,0.9,121.1,18.3,16.9,Furious Gaming,40.2,45.4,44.4,18.7,30.8
Knight,0.9,168.0,0.9,112.7,27.7,4.7,Team WaVii,23.0,48.0,28.8,81.1,42.9
KnightRider,1.2,231.6,1.4,142.2,25.1,16.9,F1LS Esports,87.6,97.2,80.5,66.1,92.5
Kohliii,0.6,158.0,0.6,96.7,27.3,0.0,FS Esports,15.2,7.6,10.0,80.3,19.8
Kojak,1.0,193.6,1.0,131.6,25.7,11.7,Top Gear,51.3,58.1,63.9,70.1,64.8
KriminaL,1.0,181.4,1.0,120.4,27.7,18.9,MAXD Esports,36.8,59.9,42.0,81.3,56.6
Krmz,,157.4,0.6,102.1,20.0,11.0,Funkboings,14.8,8.8,15.2,28.5,7.2
Krumszz,1.3,246.0,1.6,150.5,26.0,13.5,SCYTES,93.5,99.5,90.1,72.4,96.4
Kryptix,1.1,187.0,1.3,119.0,21.0,21.4,Team Liquid,44.2,94.8,39.4,34.6,54.6
Kubrix,0.9,149.5,0.8,101.4,20.1,21.7,SUS SquaD,10.0,24.5,14.3,29.8,10.1
Kucf,1.1,214.3,1.1,147.3,24.3,14.0,Union Gaming,74.3,72.0,87.5,60.3,83.7
